zone,hour,cluster,count
15708,10,MON,7666
15708,11,MON,7829
15708,12,MON,7657
15708,13,MON,7503
15708,14,MON,7466
15708,15,MON,6941
15708,16,MON,6127
15708,17,MON,5221
15708,18,MON,4249
15708,19,MON,3534
15708,20,MON,3212
15708,21,MON,2976
15708,22,MON,2716
15708,23,MON,2521
15708,0,MON,2389
15719,1,MON,1977
15719,2,MON,1778
15719,3,MON,1591
15719,4,MON,1790
15719,5,MON,2153
15719,6,MON,2446
15719,7,MON,2602
15719,8,MON,2537
15719,9,MON,2515
15719,10,MON,2480
15719,11,MON,2474
15719,12,MON,2539
15719,13,MON,2590
15719,14,MON,2641
15719,15,MON,2609
15719,16,MON,2658
15719,17,MON,2656
15719,18,MON,2502
15719,19,MON,2369
15719,20,MON,2370
15719,21,MON,2333
15719,22,MON,2290
15719,23,MON,2192
15719,0,MON,2095
15720,1,MON,2707
15720,2,MON,2416
15720,3,MON,2137
15720,4,MON,2474
15720,5,MON,3084
15720,6,MON,4128
15720,7,MON,5532
15720,8,MON,6950
15720,9,MON,7960
15720,10,MON,8687
15720,11,MON,9399
15720,12,MON,9446
15720,13,MON,9092
15720,14,MON,8631
15720,15,MON,8276
15720,16,MON,7715
15720,17,MON,7056
15720,18,MON,5943
15720,19,MON,4579
15720,20,MON,3834
15720,21,MON,3552
15720,22,MON,3219
15720,23,MON,3069
15720,0,MON,2959
15721,1,MON,1958
15721,2,MON,1737
15721,3,MON,1706
15721,4,MON,2023
15721,5,MON,2859
15721,6,MON,4043
15721,7,MON,5069
15721,8,MON,5875
15721,9,MON,6340
15721,10,MON,6599
15721,11,MON,6780
15721,12,MON,6736
15721,13,MON,6575
15721,14,MON,6552
15721,15,MON,6105
15721,16,MON,5677
15721,17,MON,4958
15721,18,MON,4111
15721,19,MON,3454
15721,20,MON,3076
15721,21,MON,3142
15721,22,MON,2546
15721,23,MON,2292
15721,0,MON,2157
15722,1,MON,8174
15722,2,MON,7441
15722,3,MON,7557
15722,4,MON,8212
15722,5,MON,9352
15722,6,MON,10251
15722,7,MON,9992
15722,8,MON,8865
15722,9,MON,8241
15722,10,MON,8086
15722,11,MON,8071
15722,12,MON,8048
15722,13,MON,7988
15722,14,MON,8127
15722,15,MON,8304
15722,16,MON,8603
15722,17,MON,9137
15722,18,MON,9480
15722,19,MON,9737
15722,20,MON,9979
15722,21,MON,10063
15722,22,MON,9605
15722,23,MON,9123
15722,0,MON,8790
15723,1,MON,11657
15723,2,MON,10499
15723,3,MON,10359
15723,4,MON,11404
15723,5,MON,12753
15723,6,MON,13909
15723,7,MON,14432
15723,8,MON,13764
15723,9,MON,13262
15723,10,MON,13381
15723,11,MON,13523
15723,12,MON,13475
